Model,Accuracy,AUC,Recall,Prec.,F1
ET,0.8222,0.8892,0.72,0.7814,0.7462
CB,0.812,0.8786,0.7176,0.7605,0.7356
RF,0.8111,0.879,0.7051,0.7667,0.7308
LR,0.8111,0.8774,0.6976,0.7708,0.7277
LGBM,0.8046,0.8692,0.7099,0.7468,0.7248
XGB,0.799,0.8631,0.7126,0.7361,0.7206
GBC,0.7989,0.8727,0.6998,0.742,0.7169
RIDGE,0.8056,0.8754,0.6799,0.7701,0.7165
LDA,0.8037,0.8742,0.6774,0.7678,0.7138
NB,0.8009,0.8491,0.6773,0.7596,0.7114
ADA,0.7786,0.8505,0.6571,0.72,0.6848
DT,0.7442,0.7267,0.6598,0.6512,0.6538
SVM,0.7433,0.8046,0.6198,0.6665,0.6367
KNN,0.7404,0.8009,0.5713,0.6732,0.6152
QDA,0.7163,0.78,0.5189,0.6489,0.5747
