Model,Accuracy,AUC,Recall,Prec.,F1
ET,0.855,0.9287,0.7719,0.825,0.7976
CB,0.8506,0.9124,0.7544,0.8269,0.789
RF,0.842,0.9174,0.7368,0.8182,0.7754
GBC,0.8398,0.9055,0.731,0.817,0.7716
LR,0.8355,0.9037,0.7076,0.8231,0.761
LGBM,0.8225,0.91,0.7544,0.7633,0.7588
XGB,0.8225,0.8948,0.7485,0.7665,0.7574
LDA,0.8312,0.9021,0.7076,0.8121,0.7562
RIDGE,0.829,0.8028,0.7018,0.8108,0.7524
NB,0.8052,0.8817,0.6842,0.7647,0.7222
ADA,0.7965,0.8771,0.6725,0.7516,0.7099
KNN,0.7662,0.8038,0.538,0.7603,0.6301
DT,0.7143,0.6804,0.5497,0.6309,0.5875
QDA,0.7208,0.8115,0.5146,0.6567,0.577
SVM,0.6818,0.6389,0.4737,0.587,0.5243
