Model,Accuracy,AUC,Recall,Prec.,F1
ET,0.8288,0.8879,0.7678,0.7689,0.7654
RF,0.8148,0.8882,0.7879,0.7323,0.7568
CB,0.8157,0.8808,0.7679,0.7429,0.753
LDA,0.8,0.8751,0.7908,0.7044,0.7437
RIDGE,0.7972,0.8763,0.7883,0.7009,0.7405
LR,0.7981,0.8759,0.7808,0.7049,0.7395
GBC,0.8009,0.8708,0.7528,0.7212,0.7339
LGBM,0.8064,0.8678,0.7301,0.7406,0.732
NB,0.7981,0.8471,0.7226,0.7277,0.7224
XGB,0.799,0.8667,0.7176,0.7314,0.7216
ADA,0.7776,0.8491,0.7024,0.6953,0.6966
KNN,0.733,0.8106,0.7854,0.6073,0.6834
DT,0.7442,0.7265,0.6595,0.6526,0.6536
SVM,0.721,0.7979,0.7149,0.6067,0.6525
QDA,0.7283,0.7732,0.5441,0.6645,0.5945
