Model,Accuracy,AUC,Recall,Prec.,F1
ET,0.8658,0.9257,0.8129,0.8225,0.8176
RF,0.855,0.9238,0.8187,0.7955,0.8069
CB,0.8463,0.9175,0.7895,0.7941,0.7918
GBC,0.842,0.9068,0.7953,0.7816,0.7884
LR,0.8268,0.9065,0.8246,0.7382,0.779
RIDGE,0.816,0.8178,0.8246,0.7194,0.7684
LDA,0.8139,0.904,0.8246,0.7157,0.7663
LGBM,0.829,0.906,0.7427,0.784,0.7628
SVM,0.8074,0.8109,0.8246,0.705,0.7601
NB,0.8182,0.8861,0.7719,0.7458,0.7586
XGB,0.8182,0.8911,0.7485,0.7574,0.7529
ADA,0.8009,0.8809,0.7544,0.7207,0.7371
KNN,0.7359,0.8028,0.7661,0.615,0.6823
QDA,0.7468,0.8154,0.5497,0.7015,0.6164
DT,0.71,0.6902,0.614,0.6069,0.6105
